id,regionname,countryname_x,prodline,lendinginstr,lendinginstrtype,projectstatusdisplay,project_name,boardapprovaldate,board_approval_month,closingdate,lendprojectcost,ibrdcommamt,idacommamt,totalamt,url,sector1,year,countrycode,countryname_y,GDP,Population,Rural Population,Electricity Access,Agricultural Land
158768,South Asia,Islamic  Republic of Afghanistan,PE,Investment Project Financing,IN,Active,Public Private Partnerships and Public Investment Advisory Project,2018-06-27 00:00:00+00:00,6,2023-06-28 00:00:00+00:00,50000000.0,0,20000000,20000000,http://projects.worldbank.org/P158768?lang=en,Central Government (Central Agencies),2018,,,,,,,
164289,Latin America and Caribbean,Grenada,PE,Development Policy Lending,AD,Active,Grenada First Fiscal Resilience and Blue Growth Development Policy Credit,2018-06-22 00:00:00+00:00,6,2019-12-31 00:00:00+00:00,35000000.0,0,30000000,30000000,http://projects.worldbank.org/P164289?lang=en,Other Public Administration,2018,GRD,,,,,,
165425,Latin America and Caribbean,Co-operative Republic of Guyana,PE,Development Policy Lending,AD,Active,First Programmatic Financial and Fiscal Stability Development Policy Credit,2018-06-22 00:00:00+00:00,6,2019-06-30 00:00:00+00:00,25000000.0,0,35000000,35000000,http://projects.worldbank.org/P165425?lang=en,Central Government (Central Agencies),2018,,,,,,,
154525,South Asia,Republic of India,PE,Investment Project Financing,IN,Active,Uttarakhand Workforce Development Project,2018-06-19 00:00:00+00:00,6,2023-06-30 00:00:00+00:00,92500000.0,74000000,0,74000000,http://projects.worldbank.org/P154525?lang=en,Workforce Development and Vocational Education,2018,IND,,,,,,
161317,Africa,Republic of Kenya,PE,Investment Project Financing,IN,Active,Kenya Industry and Entrepreneurship,2018-06-15 00:00:00+00:00,6,2024-12-31 00:00:00+00:00,50000000.0,0,50000000,50000000,http://projects.worldbank.org/P161317?lang=en,Central Government (Central Agencies),2018,KEN,,,,,,
167330,East Asia and Pacific,Kingdom of Tonga,PE,Development Policy Lending,AD,Active,Tonga Second Inclusive Growth Development Policy Operation: Supplemental Financing,2018-06-15 00:00:00+00:00,6,2019-12-31 00:00:00+00:00,10000000.0,0,10000000,10000000,http://projects.worldbank.org/P167330?lang=en,Energy Transmission and Distribution,2018,TON,,,,,,
163157,Africa,Republic of Niger,PE,Investment Project Financing,IN,Active,Youth Employment and Productive Inclusion Project,2018-06-14 00:00:00+00:00,6,2023-06-30 00:00:00+00:00,30000000.0,0,30000000,30000000,http://projects.worldbank.org/P163157?lang=en,Central Government (Central Agencies),2018,,,,,,,
159692,Middle East and North Africa,Lebanese Republic,PE,Investment Project Financing,IN,Active,Land Administration System Modernization,2018-06-08 00:00:00+00:00,6,2023-12-31 00:00:00+00:00,43000000.0,43000000,0,43000000,http://projects.worldbank.org/P159692?lang=en,Other Public Administration,2018,LBN,,,,,,
165558,Middle East and North Africa,Republic of Djibouti,PE,Investment Project Financing,IN,Active,Djibouti Support for Women and Youth Entrepreneurship,2018-06-08 00:00:00+00:00,6,2023-12-31 00:00:00+00:00,15000000.0,0,15000000,15000000,http://projects.worldbank.org/P165558?lang=en,Other Industry; Trade and Services,2018,DJI,,,,,,
166538,Africa,Republic of Senegal,PE,Investment Project Financing,IN,Active,Senegal   Saint Louis Emergency Recovery and Resilience Project,2018-06-07 00:00:00+00:00,6,2023-06-30 00:00:00+00:00,50000000.0,0,30000000,30000000,http://projects.worldbank.org/P166538?lang=en,Other Public Administration,2018,SEN,,,,,,
164295,Africa,Central African Republic,PE,Investment Project Financing,IN,Active,Central African Republic Emergency Basic Education Support Project,2018-06-06 00:00:00+00:00,6,2023-06-30 00:00:00+00:00,25000000.0,0,25000000,25000000,http://projects.worldbank.org/P164295?lang=en,Primary Education,2018,CAF,,,,,,
160796,Africa,Republic of Cabo Verde,PE,Investment Project Financing,IN,Active,STATE OWNED ENTERPRISES RELATED FISCAL MANAGEMENT PROJECT,2018-06-04 00:00:00+00:00,6,2023-07-31 00:00:00+00:00,20000000.0,0,20000000,20000000,http://projects.worldbank.org/P160796?lang=en,Central Government (Central Agencies),2018,CPV,,,,,,
165509,Europe and Central Asia,Montenegro,PE,Investment Project Financing,IN,Active,Montenegro Second Energy Efficiency Project,2018-06-04 00:00:00+00:00,6,2023-12-31 00:00:00+00:00,9000000.0,7390000,0,7390000,http://projects.worldbank.org/P165509?lang=en,Public Administration - Energy and Extractives,2018,MNE,,,,,,
163954,Africa,Republic of Guinea-Bissau,PE,Investment Project Financing,IN,Active,Guinea Bissau Strengthening Maternal and Child Health Service Delivery,2018-05-31 00:00:00+00:00,5,2023-12-31 00:00:00+00:00,25000000.0,0,25000000,25000000,http://projects.worldbank.org/P163954?lang=en,Health,2018,GNB,,,,,,
161590,Africa,Republic of Congo,PE,Investment Project Financing,IN,Active,Support to Enterprise Development and Competitiveness  Project,2018-05-30 00:00:00+00:00,5,2023-05-30 00:00:00+00:00,25000000.0,25000000,0,25000000,http://projects.worldbank.org/P161590?lang=en,Other Industry; Trade and Services,2018,,,,,,,
161969,East Asia and Pacific,Federated States of Micronesia,PE,Investment Project Financing,IN,Active,Project for Strengthening Public Financial Management,2018-05-30 00:00:00+00:00,5,2023-09-25 00:00:00+00:00,11500000.0,0,11000000,11000000,http://projects.worldbank.org/P161969?lang=en,Central Government (Central Agencies),2018,FSM,,,,,,
163131,East Asia and Pacific,Republic of the Marshall Islands,PE,Investment Project Financing,IN,Active,Project to Strengthen budget execution and financial reporting systems,2018-05-30 00:00:00+00:00,5,2023-09-25 00:00:00+00:00,9500000.0,0,9000000,9000000,http://projects.worldbank.org/P163131?lang=en,Central Government (Central Agencies),2018,MHL,,,,,,
162635,Europe and Central Asia,Kyrgyz Republic,PE,Investment Project Financing,IN,Active,Enhancing Resilience in Kyrgyzstan Project,2018-05-25 00:00:00+00:00,5,2024-01-31 00:00:00+00:00,20000000.0,0,20000000,20000000,http://projects.worldbank.org/P162635?lang=en,Other Education,2018,KGZ,,,,,,
161600,Africa,Republic of Burundi,PE,Investment Project Financing,IN,Active,Burundi Early Grade Learning Project,2018-05-24 00:00:00+00:00,5,2023-09-15 00:00:00+00:00,40000000.0,0,40000000,40000000,http://projects.worldbank.org/P161600?lang=en,Primary Education,2018,BDI,,,,,,
162129,Africa,Democratic Republic of Sao Tome and Prin,PE,Investment Project Financing,IN,Active,Sao Tome and Principe: Institutional Capacity Building Project,2018-05-18 00:00:00+00:00,5,2023-06-30 00:00:00+00:00,12000000.0,0,12000000,12000000,http://projects.worldbank.org/P162129?lang=en,Central Government (Central Agencies),2018,,,,,,,
163568,Africa,Republic of The Gambia,PE,Investment Project Financing,IN,Active,Gambia Electricity Restoration and Modernization Project,2018-05-18 00:00:00+00:00,5,2023-12-31 00:00:00+00:00,121500000.0,0,41000000,41000000,http://projects.worldbank.org/P163568?lang=en,Public Administration - Energy and Extractives,2018,GMB,,,,,,
163730,East Asia and Pacific,Lao People's Democratic Republic,PE,Investment Project Financing,IN,Active,Lao National Road 13 Improvement and Maintenance,2018-05-18 00:00:00+00:00,5,2023-05-31 00:00:00+00:00,128000000.0,0,40000000,40000000,http://projects.worldbank.org/P163730?lang=en,Rural and Inter-Urban Roads,2018,LAO,,,,,,
163901,Africa,Republic of Guinea-Bissau,PE,Investment Project Financing,IN,Active,Guinea Bissau: Safety Nets and Basic Services Project,2018-05-18 00:00:00+00:00,5,2022-12-31 00:00:00+00:00,15000000.0,0,15000000,15000000,http://projects.worldbank.org/P163901?lang=en,Social Protection,2018,GNB,,,,,,
161368,Africa,Africa,PE,Investment Project Financing,IN,Active,Strengthening the Capacity of Regional Financial Institutions in the CEMAC Region,2018-05-04 00:00:00+00:00,5,2023-07-04 00:00:00+00:00,35000000.0,0,35000000,35000000,http://projects.worldbank.org/P161368?lang=en,Public Administration - Financial Sector,2018,,,,,,,
156869,South Asia,Republic of India,PE,Investment Project Financing,IN,Active,Strengthening Public Financial Management in Rajasthan,2018-05-01 00:00:00+00:00,5,2024-03-31 00:00:00+00:00,31000000.0,21700000,0,21700000,http://projects.worldbank.org/P156869?lang=en,Central Government (Central Agencies),2018,IND,,,,,,
162956,Africa,Republic of Chad,PE,Investment Project Financing,IN,Active,Climate Resilient Agriculture and Productivity Enhancement Project,2018-04-30 00:00:00+00:00,4,2023-12-31 00:00:00+00:00,44600000.0,0,41000000,41000000,http://projects.worldbank.org/P162956?lang=en,Agricultural Extension; Research; and Other Support Activities,2018,TCD,,,,,,
161473,East Asia and Pacific,Lao People's Democratic Republic,PE,Investment Project Financing,IN,Active,Agriculture Competitiveness Project,2018-04-26 00:00:00+00:00,4,2024-06-28 00:00:00+00:00,29300000.0,0,25000000,25000000,http://projects.worldbank.org/P161473?lang=en,Agricultural Extension; Research; and Other Support Activities,2018,LAO,,,,,,
162904,Middle East and North Africa,Republic of Djibouti,PE,Investment Project Financing,IN,Active,Public Administration Modernization Project,2018-04-25 00:00:00+00:00,4,2022-10-30 00:00:00+00:00,15000000.0,0,15000000,15000000,http://projects.worldbank.org/P162904?lang=en,Central Government (Central Agencies),2018,DJI,,,,,,
163140,Africa,Republic of Guinea,PE,Investment Project Financing,IN,Active,Guinea Health Service and Capacity Strengthening Project,2018-04-25 00:00:00+00:00,4,2023-06-27 00:00:00+00:00,55000000.0,0,45000000,45000000,http://projects.worldbank.org/P163140?lang=en,Social Protection,2018,GIN,,,,,,
163239,Europe and Central Asia,Republic of Albania,PE,Investment Project Financing,IN,Active,Regional and Local Roads Connectivity,2018-04-25 00:00:00+00:00,4,2022-12-31 00:00:00+00:00,50000000.0,50000000,0,50000000,http://projects.worldbank.org/P163239?lang=en,Central Government (Central Agencies),2018,ALB,,,,,,
163777,Middle East and North Africa,Republic of Yemen,PE,Investment Project Financing,IN,Active,Yemen Emergency Electricity Access Project,2018-04-13 00:00:00+00:00,4,2021-06-30 00:00:00+00:00,50000000.0,0,50000000,50000000,http://projects.worldbank.org/P163777?lang=en,Renewable Energy Solar,2018,YEM,,,,,,
166328,Latin America and Caribbean,Commonwealth of Dominica,PE,Investment Project Financing,IN,Active,Emergency Agricultural Livelihoods and Climate Resilience Project,2018-04-13 00:00:00+00:00,4,2023-06-30 00:00:00+00:00,29500000.0,0,25000000,25000000,http://projects.worldbank.org/P166328?lang=en,Crops,2018,DMA,,,,,,
166537,Latin America and Caribbean,Commonwealth of Dominica,PE,Investment Project Financing,IN,Active,Housing Recovery Project,2018-04-13 00:00:00+00:00,4,2023-12-29 00:00:00+00:00,40000000.0,0,40000000,40000000,http://projects.worldbank.org/P166537?lang=en,Housing Construction,2018,DMA,,,,,,
164442,Africa,Central African Republic,PE,Development Policy Lending,AD,Active,State Consolidation Development Program 2,2018-04-12 00:00:00+00:00,4,2019-07-31 00:00:00+00:00,25000000.0,0,25000000,25000000,http://projects.worldbank.org/P164442?lang=en,Central Government (Central Agencies),2018,CAF,,,,,,
160613,Africa,Republic of Burundi,PE,Investment Project Financing,IN,Active,Burundi Landscape Restoration and Resilience Project,2018-04-11 00:00:00+00:00,4,2023-03-14 00:00:00+00:00,30000000.0,0,30000000,30000000,http://projects.worldbank.org/P160613?lang=en,Livestock,2018,BDI,,,,,,
163592,Europe and Central Asia,Kyrgyz Republic,PE,Investment Project Financing,IN,Active,CASA1000 Community Support Project   Kyrgyz Republic,2018-04-10 00:00:00+00:00,4,2023-06-30 00:00:00+00:00,11000000.0,0,10000000,10000000,http://projects.worldbank.org/P163592?lang=en,Energy Transmission and Distribution,2018,KGZ,,,,,,
161320,East Asia and Pacific,Solomon Islands,PE,Investment Project Financing,IN,Active,Community Access and Urban Services Enhancement Project,2018-04-02 00:00:00+00:00,4,2022-05-27 00:00:00+00:00,15000000.0,0,15000000,15000000,http://projects.worldbank.org/P161320?lang=en,Social Protection,2018,SLB,,,,,,
165276,East Asia and Pacific,Republic of Fiji,PE,Development Policy Lending,AD,Active,Fiscal Sustainability and Climate Resilience DPO,2018-04-02 00:00:00+00:00,4,2019-06-30 00:00:00+00:00,15000000.0,15000000,0,15000000,http://projects.worldbank.org/P165276?lang=en,Other Industry; Trade and Services,2018,FJI,,,,,,
164290,South Asia,Kingdom of Bhutan,PE,Development Policy Lending,AD,Active,Strengthening Fiscal Management & Private Sector Employment,2018-03-30 00:00:00+00:00,3,2019-02-28 00:00:00+00:00,30000000.0,0,30000000,30000000,http://projects.worldbank.org/P164290?lang=en,Central Government (Central Agencies),2018,BTN,,,,,,
157987,South Asia,People's Republic of Bangladesh,PE,Investment Project Financing,IN,Active,National Strategy for Development of Statistics Implementation Support,2018-03-29 00:00:00+00:00,3,2022-02-28 00:00:00+00:00,18000000.0,0,15000000,15000000,http://projects.worldbank.org/P157987?lang=en,Central Government (Central Agencies),2018,BGD,,,,,,
157206,Africa,Republic of Cote d'Ivoire,PE,Investment Project Financing,IN,Active,Cote d'Ivoire Land Policy Improvement and Implementation Project,2018-03-28 00:00:00+00:00,3,2023-09-01 00:00:00+00:00,54000000.0,0,50000000,50000000,http://projects.worldbank.org/P157206?lang=en,Other Agriculture; Fishing and Forestry,2018,,,,,,,
161348,South Asia,Islamic  Republic of Afghanistan,PE,Investment Project Financing,IN,Active,Modernizing Afghan State Owned Banks Project,2018-03-28 00:00:00+00:00,3,2023-03-28 00:00:00+00:00,40000000.0,0,40000000,40000000,http://projects.worldbank.org/P161348?lang=en,Central Government (Central Agencies),2018,,,,,,,
162890,Africa,Republic of The Gambia,PE,Investment Project Financing,IN,Active,The Gambia   Education Sector Support Program,2018-03-28 00:00:00+00:00,3,2022-12-31 00:00:00+00:00,35000000.0,0,30000000,30000000,http://projects.worldbank.org/P162890?lang=en,Primary Education,2018,GMB,,,,,,
156837,Europe and Central Asia,Republic of Serbia,PE,Investment Project Financing,IN,Active,State Owned Financial Institutions Reform Project,2018-03-20 00:00:00+00:00,3,2022-08-01 00:00:00+00:00,56000000.0,50000000,0,50000000,http://projects.worldbank.org/P156837?lang=en,Public Administration - Financial Sector,2018,SRB,,,,,,
160230,Europe and Central Asia,Kyrgyz Republic,PE,Investment Project Financing,IN,Active,Digital CASA   Kyrgyz Republic,2018-03-20 00:00:00+00:00,3,2023-05-31 00:00:00+00:00,50000000.0,0,50000000,50000000,http://projects.worldbank.org/P160230?lang=en,Central Government (Central Agencies),2018,KGZ,,,,,,
151909,Africa,Republic of Mali,PE,Investment Project Financing,IN,Active,Mali   Economic & Environmental Rehabilitation of the Niger River,2018-03-16 00:00:00+00:00,3,2023-09-15 00:00:00+00:00,27800000.0,0,27800000,27800000,http://projects.worldbank.org/P151909?lang=en,Other Water Supply; Sanitation and Waste Management,2018,MLI,,,,,,
163563,Africa,Islamic Republic of Mauritania,PE,Investment Project Financing,IN,Active,Supporting Gas Project Negotiations and Enhancing Institutional Capacities,2018-03-16 00:00:00+00:00,3,2022-09-23 00:00:00+00:00,20000000.0,0,20000000,20000000,http://projects.worldbank.org/P163563?lang=en,Oil and Gas,2018,MRT,,,,,,
163531,Latin America and Caribbean,Republic of Nicaragua,PE,Investment Project Financing,IN,Active,Nicaragua Property Rights Strengthening Project,2018-03-15 00:00:00+00:00,3,2024-03-15 00:00:00+00:00,50000000.0,0,50000000,50000000,http://projects.worldbank.org/P163531?lang=en,Sub-National Government,2018,NIC,,,,,,
157836,South Asia,Republic of India,PE,Investment Project Financing,IN,Active,Meghalaya Community led Landscapes Management Project,2018-03-13 00:00:00+00:00,3,2023-06-30 00:00:00+00:00,60000000.0,48000000,0,48000000,http://projects.worldbank.org/P157836?lang=en,Forestry,2018,IND,,,,,,
161973,Africa,Central African Republic,PE,Investment Project Financing,IN,Active,Natural Resources Governance Project in CAR,2018-03-12 00:00:00+00:00,3,2023-06-30 00:00:00+00:00,10000000.0,0,10000000,10000000,http://projects.worldbank.org/P161973?lang=en,Mining,2018,CAF,,,,,,
